,lea_state,lea_state_name,leaid,lea_name,schid,sch_name,combokey,ncessch,hs_8orlower,sch_grade_ps,sch_grade_kg,sch_grade_g01,sch_grade_g02,sch_grade_g03,sch_grade_g04,sch_grade_g05,sch_grade_g06,sch_grade_g07,sch_grade_g08,sch_grade_g09,sch_grade_g10,sch_grade_g11,sch_grade_g12,sch_grade_ug,tot_enrl_all,tot_enrl_m,tot_enrl_f,tot_enrl_wh,tot_enrl_wh_m,tot_enrl_wh_f,tot_enrl_bl,tot_enrl_bl_m,tot_enrl_bl_f,tot_enrl_hi,tot_enrl_hi_m,tot_enrl_hi_f,tot_enrl_as,tot_enrl_as_m,tot_enrl_as_f,tot_enrl_am,tot_enrl_am_m,tot_enrl_am_f,tot_enrl_hp,tot_enrl_hp_m,tot_enrl_hp_f,tot_enrl_tr,tot_enrl_tr_m,tot_enrl_tr_f,tot_enrl_lep,tot_enrl_lep_m,tot_enrl_lep_f,tot_enrl_idea,tot_enrl_idea_m,tot_enrl_idea_f,tot_dualenrl_all,tot_dualenrl_m,tot_dualenrl_f,tot_dualenrl_wh,tot_dualenrl_wh_m,tot_dualenrl_wh_f,tot_dualenrl_bl,tot_dualenrl_bl_m,tot_dualenrl_bl_f,tot_dualenrl_hi,tot_dualenrl_hi_m,tot_dualenrl_hi_f,tot_dualenrl_as,tot_dualenrl_as_m,tot_dualenrl_as_f,tot_dualenrl_am,tot_dualenrl_am_m,tot_dualenrl_am_f,tot_dualenrl_hp,tot_dualenrl_hp_m,tot_dualenrl_hp_f,tot_dualenrl_tr,tot_dualenrl_tr_m,tot_dualenrl_tr_f,tot_dualenrl_lep,tot_dualenrl_lep_m,tot_dualenrl_lep_f,tot_dualenrl_idea,tot_dualenrl_idea_m,tot_dualenrl_idea_f,tot_apenrl_all,tot_apenrl_m,tot_apenrl_f,tot_apenrl_wh,tot_apenrl_wh_m,tot_apenrl_wh_f,tot_apenrl_bl,tot_apenrl_bl_m,tot_apenrl_bl_f,tot_apenrl_hi,tot_apenrl_hi_m,tot_apenrl_hi_f,tot_apenrl_as,tot_apenrl_as_m,tot_apenrl_as_f,tot_apenrl_am,tot_apenrl_am_m,tot_apenrl_am_f,tot_apenrl_hp,tot_apenrl_hp_m,tot_apenrl_hp_f,tot_apenrl_tr,tot_apenrl_tr_m,tot_apenrl_tr_f,tot_apenrl_lep,tot_apenrl_lep_m,tot_apenrl_lep_f,tot_apenrl_idea,tot_apenrl_idea_m,tot_apenrl_idea_f
9881,NV,NEVADA,3200060.0,CLARK COUNTY SCHOOL DISTRICT,666,Andre Agassi College Preparatory Academy,320006000666,320006000666.0,1,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,696,324,372,7,5,2,523,230,293,133,71,62,4,2,2,4,2,2,0,0,0,25,14,11,40,26,14,68,40,28,31,7,24,0,0,0,25,5,20,4,2,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,29,5,24,0,0,0,25,5,20,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
9882,NV,NEVADA,3200060.0,CLARK COUNTY SCHOOL DISTRICT,666,Andre Agassi College Preparatory Academy,320006000666,320006000666.0,1,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,696,324,372,7,5,2,523,230,293,133,71,62,4,2,2,4,2,2,0,0,0,25,14,11,40,26,14,68,40,28,31,7,24,0,0,0,25,5,20,4,2,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,29,5,24,0,0,0,25,5,20,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
9888,NV,NEVADA,3200060.0,CLARK COUNTY SCHOOL DISTRICT,749,Innovations International Charter School of NV,320006000749,320006000749.0,1,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,344,179,165,43,23,20,49,20,29,235,128,107,2,2,0,4,2,2,4,2,2,7,2,5,100,59,41,62,37,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9889,NV,NEVADA,3200060.0,CLARK COUNTY SCHOOL DISTRICT,749,Innovations International Charter School of NV,320006000749,320006000749.0,1,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,344,179,165,43,23,20,49,20,29,235,128,107,2,2,0,4,2,2,4,2,2,7,2,5,100,59,41,62,37,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10070,NJ,NEW JERSEY,3401470.0,Bergen County Vocational Technical School District,264,Bergen County Technical High School - Paramus,340147000264,340147000264.0,0,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,75,41,34,22,11,11,19,11,8,22,11,11,4,2,2,4,2,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10071,NJ,NEW JERSEY,3401470.0,Bergen County Vocational Technical School District,264,Bergen County Technical High School - Paramus,340147000264,340147000264.0,0,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,75,41,34,22,11,11,19,11,8,22,11,11,4,2,2,4,2,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15578,TX,TEXAS,4800022.0,RAUL YZAGUIRRE SCHOOL FOR SUCCESS,7905,RAUL YZAGUIRRE SCHOOL FOR SUCCESS,480002207905,480002207905.0,0,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,277,158,119,0,0,0,0,0,0,277,158,119,0,0,0,0,0,0,0,0,0,0,0,0,19,11,8,23,13,10,37,20,17,0,0,0,0,0,0,37,20,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,83,74,0,0,0,0,0,0,157,83,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15579,TX,TEXAS,4800022.0,RAUL YZAGUIRRE SCHOOL FOR SUCCESS,7905,RAUL YZAGUIRRE SCHOOL FOR SUCCESS,480002207905,480002207905.0,0,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,277,158,119,0,0,0,0,0,0,277,158,119,0,0,0,0,0,0,0,0,0,0,0,0,19,11,8,23,13,10,37,20,17,0,0,0,0,0,0,37,20,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,83,74,0,0,0,0,0,0,157,83,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15580,TX,TEXAS,4800022.0,RAUL YZAGUIRRE SCHOOL FOR SUCCESS,7905,RAUL YZAGUIRRE SCHOOL FOR SUCCESS,480002207905,480002207905.0,0,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,277,158,119,0,0,0,0,0,0,277,158,119,0,0,0,0,0,0,0,0,0,0,0,0,19,11,8,23,13,10,37,20,17,0,0,0,0,0,0,37,20,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,83,74,0,0,0,0,0,0,157,83,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15581,TX,TEXAS,4800022.0,RAUL YZAGUIRRE SCHOOL FOR SUCCESS,7905,RAUL YZAGUIRRE SCHOOL FOR SUCCESS,480002207905,480002207905.0,0,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,277,158,119,0,0,0,0,0,0,277,158,119,0,0,0,0,0,0,0,0,0,0,0,0,19,11,8,23,13,10,37,20,17,0,0,0,0,0,0,37,20,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,83,74,0,0,0,0,0,0,157,83,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15615,TX,TEXAS,4800139.0,TEKOA ACADEMY OF ACCELERATED STUDIES STEM SCHOOL,12365,TEKOA ACADEMY OF ACCELERATED STUDIES,480013912365,480013912365.0,0,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,80,29,51,4,2,2,64,20,44,10,5,5,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,9,16,2,2,0,19,5,14,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
15616,TX,TEXAS,4800139.0,TEKOA ACADEMY OF ACCELERATED STUDIES STEM SCHOOL,12365,TEKOA ACADEMY OF ACCELERATED STUDIES,480013912365,480013912365.0,0,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,80,29,51,4,2,2,64,20,44,10,5,5,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,9,16,2,2,0,19,5,14,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
15617,TX,TEXAS,4800139.0,TEKOA ACADEMY OF ACCELERATED STUDIES STEM SCHOOL,12365,TEKOA ACADEMY OF ACCELERATED STUDIES,480013912365,480013912365.0,0,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,80,29,51,4,2,2,64,20,44,10,5,5,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,9,16,2,2,0,19,5,14,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
